name,url,images
Messi Fresh Tee Kids,https://www.adidas.com/us/messi-fresh-tee-kids/JF1824.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/b8449da4431a4ba494434aa8b7e6f1ef_9366/messi-fresh-tee-kids.jpg"
Tiro 23 League Training Jacket,https://www.adidas.com/us/tiro-23-league-training-jacket/HS3527.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/445c4389925f441cbfc5af4100e4d407_9366/tiro-23-league-training-jacket.jpg"
LM Varsity Tee,https://www.adidas.com/us/lm-varsity-tee/JJ2316.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/d05983e690b5410fb070faae1697c42c_9366/lm-varsity-tee.jpg"
Adicolor Pants,https://www.adidas.com/us/adicolor-pants/IT5423.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/7e4c0cf0a0e049e9be30dca520067dc0_9366/adicolor-pants.jpg"
Juventus 23/24 Away Jersey Kids,https://www.adidas.com/us/juventus-23-24-away-jersey-kids/IB0503.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/67780ef32a7449e0bc4299cdf115cdfb_9366/juventus-23-24-away-jersey-kids.jpg"
Two-Piece Long Sleeve Essential Tricot Set,https://www.adidas.com/us/two-piece-long-sleeve-essential-tricot-set/IR2926.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/2d1f382b51014d02968037ad3e7c3f52_9366/two-piece-long-sleeve-essential-tricot-set.jpg"
Adicolor Hoodie Set,https://www.adidas.com/us/adicolor-hoodie-set/IB8631.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/806261738cd1480dad3baf0000c30855_9366/adicolor-hoodie-set.jpg"
Tricot Bomber Jacket (Extended Size),https://www.adidas.com/us/tricot-bomber-jacket-extended-size/EY1999.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/90328b8718a04a1cb167adeb00337b95_9366/tricot-bomber-jacket-extended-size.jpg"
Adicolor Crew Sweatshirt Set,https://www.adidas.com/us/adicolor-crew-sweatshirt-set/IJ9849.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/c280ae0b91174455a94fafc8003f3247_9366/adicolor-crew-sweatshirt-set.jpg"
Two-Piece Hoodie & Legging Set,https://www.adidas.com/us/two-piece-hoodie---legging-set/IR2930.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/4f81bf0634464cb38229083a3112558f_9366/two-piece-hoodie---legging-set.jpg"
Two-Piece Long Sleeve Hooded Pullover & Elastic Waistband Jogger Set,https://www.adidas.com/us/two-piece-long-sleeve-hooded-pullover---elastic-waistband-jogger-set/IR4018.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/cc497223539140c0b616a8910fe886c7_9366/two-piece-long-sleeve-hooded-pullover---elastic-waistband-jogger-set.jpg"
Tiro 23 Pants,https://www.adidas.com/us/tiro-23-pants/HR7123.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/607342f9c4954f9594daaf080111b041_9366/tiro-23-pants.jpg"
Forum Low CL The Grinch Shoes,https://www.adidas.com/us/forum-low-cl-the-grinch-shoes/IG7066.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/d2cac9ee9cd24ec5a18b343a4099c8f6_9366/forum-low-cl-the-grinch-shoes.jpg"
Multix Shoes,https://www.adidas.com/us/multix-shoes/GX4811.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/c56f43c754154eac8fe2ae9200aba622_9366/multix-shoes.jpg"
Avryn Shoes Kids,https://www.adidas.com/us/avryn-shoes-kids/IG0124.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/8a422f72428f4ece90e63c6c8d087c02_9366/avryn-shoes-kids.jpg"
Racer TR 23 Shoes Kids,https://www.adidas.com/us/racer-tr-23-shoes-kids/ID5370.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/373be7f4bc3e40f3b24d45cfe1ac6798_9366/racer-tr-23-shoes-kids.jpg"
