name,price,description,review_count,avg_rating,scraped_at,color,brand,currency,url,availability
Stan Smith Comfort Closure Shoes Kids,45,,,"(None,)",2023-12-13 11:26:31,Cloud White / Cloud White / Blue Bird,Adidas,USD,https://www.adidas.com//us/stan-smith-comfort-closure-shoes-kids/IE8119.html,INSTOCK
Gazelle Comfort Closure Shoes Kids,60,, 21,4.9,2023-12-13 11:26:33,Night Indigo / Wonder Taupe S23 / Gum,Adidas,USD,https://www.adidas.com//us/gazelle-comfort-closure-shoes-kids/IE8707.html,INSTOCK
Mahomes 1 Impact FLX Shoes,66,, 34,4.4,2023-12-13 11:26:36,Royal Blue / Cloud White / Team Light Blue,Adidas,USD,https://www.adidas.com//us/mahomes-1-impact-flx-shoes/HQ2078.html,INSTOCK
Grand Court Shoes,30,, 75,4.9,2023-12-13 11:26:40,Cloud White / Cloud White / Champagne Met.,Adidas,USD,https://www.adidas.com//us/grand-court-shoes/FZ3510.html,INSTOCK
Stan Smith Shoes,72,, 148,4.9,2023-12-13 11:26:44,Cloud White / Cloud White / Bold Pink,Adidas,USD,https://www.adidas.com//us/stan-smith-shoes/FX7522.html,INSTOCK
adidas x LEGO® Racer TR21 Elastic Lace and Top Strap Shoes,75,, 38,4.4,2023-12-13 11:26:49,Red / Red / Bliss Pink,Adidas,USD,https://www.adidas.com//us/adidas-x-lego-racer-tr21-elastic-lace-and-top-strap-shoes/IG0568.html,INSTOCK
Superstar 360 Shoes,36,, 26,4.8,2023-12-13 11:26:52,Cloud White / Cloud White / Cloud White,Adidas,USD,https://www.adidas.com//us/superstar-360-shoes/GX3273.html,INSTOCK
TERREX Hyperhiker Hiking Shoes,42,, 5,4.6,2023-12-13 11:26:57,Core Black / Grey Three / Core Black,Adidas,USD,https://www.adidas.com//us/terrex-hyperhiker-hiking-shoes/GZ9216.html,INSTOCK
Forum Low Comfort Closure Shoes Kids,36,, 3,4.3,2023-12-13 11:27:04,Core Black / Off White / Shadow Red,Adidas,USD,https://www.adidas.com//us/forum-low-comfort-closure-shoes-kids/IF2668.html,INSTOCK
adidas x LEGO® Racer TR21 Elastic Lace and Top Strap Shoes,60,, 33,4.7,2023-12-13 11:27:05,Core Black / Core Black / Red,Adidas,USD,https://www.adidas.com//us/adidas-x-lego-racer-tr21-elastic-lace-and-top-strap-shoes/IG0567.html,INSTOCK
Stabil Indoor Shoes,75,, 12,4.7,2023-12-13 11:27:10,Cloud White / Core Black / Sky Tint,Adidas,USD,https://www.adidas.com//us/stabil-indoor-shoes/ID1137.html,INSTOCK
NMD_V3 Shoes,49,, 20,5.0,2023-12-13 11:27:11,Core Black / Core Black / Signal Green,Adidas,USD,https://www.adidas.com//us/nmd_v3-shoes/GW5991.html,INSTOCK
NMD_R1 Refined Shoes,75,, 66,4.5,2023-12-13 11:27:14,Core Black / Core Black / Cloud White,Adidas,USD,https://www.adidas.com//us/nmd_r1-refined-shoes/H02345.html,INSTOCK
Ultraboost 1.0 Shoes,160,, 68,4.8,2023-12-13 11:27:21,Core Black / Core Black / Beam Green F22,Adidas,USD,https://www.adidas.com//us/ultraboost-1.0-shoes/HQ4218.html,INSTOCK
VL Court 3.0 Shoes Kids,55,,,"(None,)",2023-12-13 11:27:22,Cloud White / Dark Blue / Better Scarlet,Adidas,USD,https://www.adidas.com//us/vl-court-3.0-shoes-kids/IE6224.html,INSTOCK
adidas Originals x Disney 101 Dalmatians Superstar 360 Shoes Kids,52,, 6,5.0,2023-12-13 11:27:26,Cloud White / Core Black / Red,Adidas,USD,https://www.adidas.com//us/adidas-originals-x-disney-101-dalmatians-superstar-360-shoes-kids/ID9712.html,INSTOCK
Stan Smith Shoes Kids,80,,,"(None,)",2023-12-13 11:27:31,Night Indigo / Bliss Lilac F22 / Cloud White,Adidas,USD,https://www.adidas.com//us/stan-smith-shoes-kids/IE8209.html,INSTOCK
RapidaSport Bounce Sport Lace Shoes,56,, 75,4.7,2023-12-13 11:27:34,Green Oxide / Cloud White / Screaming Orange,Adidas,USD,https://www.adidas.com//us/rapidasport-bounce-sport-lace-shoes/FZ6347.html,INSTOCK
Ultraboost 1.0 Shoes,160,, 68,4.8,2023-12-13 11:27:38,Semi Blue Burst S24 / Preloved Ink S24 / Solar Red,Adidas,USD,https://www.adidas.com//us/ultraboost-1.0-shoes/ID8437.html,INSTOCK
Stan Smith Shoes,72,, 148,4.9,2023-12-13 11:27:45,Cloud White / Cloud White / Dark Blue,Adidas,USD,https://www.adidas.com//us/stan-smith-shoes/H68621.html,INSTOCK
Racer TR23 Shoes Kids,45,, 41,4.9,2023-12-13 11:27:46,Core Black / Cloud White / Royal Blue,Adidas,USD,https://www.adidas.com//us/racer-tr23-shoes-kids/ID0336.html,INSTOCK
VL Court 3.0 Shoes Kids,55,,,"(None,)",2023-12-13 11:27:51,Aluminium / Cloud White / Aluminium,Adidas,USD,https://www.adidas.com//us/vl-court-3.0-shoes-kids/ID6312.html,INSTOCK
Superstar 360 Shoes,52,, 100,4.7,2023-12-13 11:27:52,Core Black / Cloud White / Gold Metallic,Adidas,USD,https://www.adidas.com//us/superstar-360-shoes/GX3231.html,INSTOCK
Adifom Supernova Shoes,70,, 13,4.6,2023-12-13 11:27:56,Core Black / Core Black / Core Black,Adidas,USD,https://www.adidas.com//us/adifom-supernova-shoes/IF6588.html,INSTOCK
Superstar Comfort Closure Shoes Kids,65,, 1,5.0,2023-12-13 11:28:01,Core Black / Core Black / Gold Metallic,Adidas,USD,https://www.adidas.com//us/superstar-comfort-closure-shoes-kids/ID7265.html,INSTOCK
Superstar Shoes,72,, 1,5.0,2023-12-13 11:28:02,Cloud White / Wonder White / Legend Ink,Adidas,USD,https://www.adidas.com//us/superstar-shoes/HQ8730.html,INSTOCK
